propertyType,features,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,assessorID,legalDescription,property_id
Single Family,"{""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",2.0,0.0,859.0,5140.0,1920.0,49-06-26-184-067.000-101,ADDISON L ROACHE ADD L3 & 11' W SIDE L2 BLK42,76
Single Family,"{""cooling"": true, ""coolingType"": ""Package"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Package"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",3.0,2.0,1814.0,6708.0,2001.0,052529218500010040,STONEHURST AT STONEFIELD PB 12 PG 133-135 LOT 4,77
Single Family,"{""architectureType"": ""Ranch / Rambler"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 9, ""unitCount"": 1}",4.0,2.0,1141.0,7405.0,1957.0,16-32-279-022,"LOT 1 CUTLER VILLAGE ADD NO 3 6594-0620 9913-4235 9915-5877 9950-3166,3168,3237 10101-4754",78
Single Family,NaN,5.0,3.0,3074.0,6408.0,2020.0,7262R-F-28,CHISHOLM TRAIL RANCH BLOCK F LOT 28,79
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Underground / Basement"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",4.0,2.0,1824.0,9017.0,1961.0,20-17-  32-0041.0000,LT 28 SEC B RIVER LAKE ESTS,80
Manufactured,"{""architectureType"": ""European"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Pier / Post & Beam"", ""heating"": true, ""heatingType"": ""Other"", ""roofType"": ""Metal""}",1.0,1.0,720.0,59677.0,1975.0,0658-00-89-1125,DIST:02 CITY/MUNI/TWP:CROOKED CREEK,81
Single Family,NaN,4.0,3.0,3300.0,14810.0,2020.0,20-081-0-0011,"LOT 11, DAVIES PLACE SUBDIVISION, A SUBDIVISION OF TOOELE COUNTY. OUT OF 4-70-25 FOR 2020 YEAR. 0.34 AC",82
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Footing"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",0.0,1.0,1173.0,43077.0,1956.0,030111I A 02800,"DISTRICT: 24, COUNTY AREA: G01",83
Multi-Family,"{""unitCount"": 2}",3.0,2.0,1275.0,5070.0,1950.0,351-491-23-00,TR 1729 BLK H*LOT 12*N 100 FT*,84
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",3.0,1.0,1248.0,11124.0,1971.0,8130-74-61-0070,LOT 7 BLK 1935 DELTONA LAKES UNIT 74 MB 29 PG 28 PER OR 3799 PG 2744 PER D/C 5186 PG 1099 PER OR 5466 PGS 3338-3339 PER OR,85
Condo,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Combination"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 5, ""unitCount"": 1}",2.0,3.0,1474.0,0.0,2007.0,419-130-04-046-530,UNIT 31 TIMMONS WOODS CONDO PH 4E,86
Condo,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 4, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 4, ""unitCount"": 1}",0.0,2.0,919.0,0.0,1973.0,134-26-3850,LANGLEY GARDENS CONDOMINIUMS APT 164 & UND 1/200TH INT IN COMMON ELEMENTS,87
Single Family,"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 5, ""unitCount"": 1}",2.0,1.0,809.0,4056.0,1943.0,45-5306-35,TRACT 651 LOT 155,88
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle""}",3.0,2.0,1915.0,10375.0,2021.0,3420-530-1228-000-8,PORT ST LUCIE-SECTION 07- BLK 1880 LOT 7 (MAP 43/14S),89
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 8, ""unitCount"": 1}",4.0,2.0,2340.0,7362.0,1990.0,64-06-01-104-007.000-023,CHGO PORTER HOME INV CO 2ND ADD LOT 15 &LOT 16 EX W8 N55.4 & E22 S69.6LOT 17 BLK 65,90
Single Family,"{""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached""}",0.0,0.0,2349.0,9670.0,2014.0,16068-005-008-00,ACRES: 0.222 LOT: 8 BLK: 5 SUBD: PARK OAKS ADDITION,91
Condo,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Glass"", ""floorCount"": 3, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1, ""viewType"": ""Water""}",3.0,2.0,2069.0,16988.0,1981.0,01-43-22-03-00065.00B0,MARINA SOUTH SHORE PH III OR 1432 PG 278 UNIT 65-B,92
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",6.0,5.0,3405.0,34848.0,2000.0,204  038,2-1 792 LT3 PHI RIVERMIST,93
Single Family,"{""architectureType"": ""Single Story"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 8, ""unitCount"": 1}",4.0,2.5,1930.0,6970.0,1999.0,178-24-211-014,MONTENEGRO EST UNIT 1B PLAT BOOK 83 PAGE 15 LOT 100 BLOCK 6,94
Single Family,"{""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1, ""viewType"": ""Excellent""}",4.0,2.0,1806.0,11200.0,1979.0,0310-673-05-0000,TRACT NO 7427 MOONRIDGE MOUNTAIN ESTATES NO 21 LOT 50,95
Land,NaN,0.0,0.0,0.0,784080.0,0.0,Unknown,Not available,96
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",4.0,3.0,2730.0,6325.0,2016.0,0334080417,LOT 4 BLK I SPRINGFIELD SEC 3,97
Single Family,"{""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""unitCount"": 1, ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Steam"", ""roomCount"": 9}",4.0,3.5,4883.0,22651.0,1983.0,08-04-204-024,CORPORATE WOODS ALL,98
Condo,NaN,1.0,1.0,800.0,0.0,0.0,Unknown,Not available,99
Single Family,"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Hot Water"", ""roomCount"": 6, ""unitCount"": 1, ""viewType"": ""Average""}",3.0,1.0,1200.0,1125.0,1925.0,33-2-3077-00,133' N ERIE AVE,100
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",3.0,1.0,1134.0,11220.0,1961.0,13-13-17-320-007,SEC 17 T24N R2W THAMES ADDN LOT 2 SW 14,101
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",2.0,1.0,882.0,4983.0,1935.0,13-31-16-26208-002-0200,"EUCLID GROVE BLK B, LOT 20",102
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",3.0,1.0,1349.0,3472.0,1933.0,16-06-00872-00,DIST:16 CITY/MUNI/TWP:DARBY TWP U MAP REF:16-08 -430-018,103
Apartment,NaN,1.0,1.0,700.0,0.0,0.0,Unknown,Not available,104
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 5, ""unitCount"": 1}",3.0,2.0,1080.0,8930.0,1961.0,010-124819,SCHURTZ AVE BROOKSHIRE PK 3 LOT 129,105
Single Family,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",0.0,1.0,1539.0,89734.0,1983.0,9720-07-02800,"S972007 - WOODLAND LAKES 07 MAG, LOT 28, ACRES 2.06",106
Multi-Family,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 2}",3.0,2.0,972.0,7492.0,1960.0,044-003- - -00022,NS ALLISON,107
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",3.0,1.0,957.0,9365.0,1958.0,49-06-19-113-035.000-901,EAGLEDALE 7TH SEC L125,108
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 6, ""unitCount"": 1}",2.0,1.0,1714.0,10119.0,1953.0,21K-4-3-039-4,PARKRIDGE LOTS 3 & 4,109
Condo,"{""unitCount"": 1}",2.0,1.5,944.0,0.0,1972.0,494126AB2730,HABITAT II PHASE IV CONDO UNIT A BLDG 64,110
Single Family,"{""architectureType"": ""Cape Cod"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",2.0,1.0,1475.0,9583.0,1948.0,06-091.00-092,LOT:10 DIST:06 SUBD:BELLEWOOD,111
Single Family,"{""exteriorType"": ""Composition"", ""floorCount"": 1, ""foundationType"": ""Pier"", ""roomCount"": 4}",2.0,0.0,611.0,1437480.0,2000.0,2-06-5-16-00-0-00001-00,PT OF NE 1/4 OF NE 1/4,112
Single Family,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",0.0,2.0,1902.0,13264.0,1981.0,102-82-095,VILLA DE PAZ UNIT 7 MCR 228-43,113
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Frame Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roomCount"": 6, ""unitCount"": 1}",3.0,2.0,1392.0,11346.0,1979.0,20012001070,DIST:9 CITY/MUNI/TWP:UNINCORPORATED SUBD:MARS HILL ACRES,114
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",3.0,3.0,1388.0,5489.0,2005.0,R0820601,MIL SV L28 BLK21 SETTLERS VILLAGE,115
Multi-Family,"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 3, ""heating"": true, ""heatingType"": ""Space"", ""roofType"": ""Asphalt"", ""roomCount"": 9, ""unitCount"": 2, ""architectureType"": ""Two Family""}",3.0,2.0,2471.0,3210.0,1900.0,FALL M:0I-24 B:0000 L:0093,LOT:93 DIST:95 CITY/MUNI/TWP:FALL RIVER,116
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Electric"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",0.0,1.0,2774.0,19446.0,1994.0,7981-9216-002,"TIMBERCREEK SEC 2 REPLAT (LAKE JACKSON), BLOCK 16, LOT 2 PRIMARY SITE",117
Townhouse,NaN,3.0,2.0,1250.0,2786.0,2005.0,Unknown,Not available,118
Land,NaN,0.0,0.0,0.0,47045.0,0.0,Unknown,Not available,119
Single Family,"{""unitCount"": 1}",5.0,3.5,0.0,30056.0,0.0,0400-261.00-02.00-009.020,BLK LOT,120
Single Family,NaN,5.0,4.0,0.0,7920.0,1930.0,Unknown,Not available,121
Condo,"{""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""roomCount"": 5, ""unitCount"": 1}",2.0,1.0,924.0,924.0,1970.0,296-42-172,LIBERTY BELL ESTATES BLK 6 UNIT   22,122
Apartment,NaN,2.0,2.0,1000.0,0.0,0.0,Unknown,Not available,123
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Gas Log"", ""floorCount"": 1, ""foundationType"": ""Other"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",3.0,3.0,1536.0,10872.0,2013.0,2033500722,QUAIL HOLLOW LOT 37 BLOCK 0 72X151,124
Single Family,"{""architectureType"": ""Split Level"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 3, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 7, ""unitCount"": 1}",3.0,1.0,1283.0,1560.0,1905.0,549760586833 1,LOTS: 008,125
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",3.0,2.0,1588.0,6098.0,2006.0,2943-071-59-016,LOT 16 BLK 1 LEGENDS EAST FILING ONE SEC 7 1S 1E & AN UND INT IN TRACT A- 0.14AC,126
Manufactured,"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""heating"": true, ""heatingType"": ""Heat Pump""}",3.0,2.0,2052.0,66647.0,2001.0,126 085,1.53AC,127
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Mixed"", ""roomCount"": 7, ""architectureType"": ""Ranch"", ""heating"": true, ""heatingType"": ""Hot Water""}",3.0,1.5,1285.0,13068.0,1974.0,337-14-01-0007,INT SPAIN AVE & 378;,128
Single Family,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",3.0,1.0,1227.0,18731.0,1949.0,92-17-34-202-028,"T2N, R8E, SEC 34 O'FLAHERTY'S LAKE VIEW SUB NO 1 LOTS 71, 72 & 73",129
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 9}",4.0,2.5,2492.0,16539.0,1998.0,71-04-21-253-008.000-003,OAKDALE MEADOWS SEC 2 LOT 20,130
Single Family,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",3.0,2.5,1935.0,4400.0,2005.0,05080-962-0160,CB 5080Q BLK 62 LOT 16 VALLEY VIEW UT-1 SUBD PLAT 9565/123-125,131
Land,NaN,3.0,3.5,1560.0,1280.0,0.0,06903174,L45 M70-495,132
Condo,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Concrete"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Roll Tar & Gravel"", ""roomCount"": 6, ""unitCount"": 1}",3.0,2.0,1685.0,0.0,1980.0,029-3-17-04-0826,THE ROTONDA CONDO UN 826 PH 4 BG 4 PS44,133
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""fireplaceType"": ""Gas Log"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",5.0,4.0,3216.0,10454.0,1999.0,31-04-26-021262-019-31,LOT 31 COUNTRY WALK AS REC O R4605 PG 787,134
Single Family,"{""garage"": true, ""garageType"": ""Garage""}",0.0,0.0,2520.0,7427.0,1947.0,13405,PT M & N 6 LAFAYETTE,135
Single Family,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Combination"", ""fireplace"": true, ""floorCount"": 3, ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",5.0,3.0,2359.0,16893.0,1966.0,775-757-2914,0061080000G 0001; ROCKY BRANCH FARM SC E BL G LT 1 98 A1 86,136
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",3.0,2.0,1227.0,4651.0,1981.0,14852834520000,GREEN RUN SEC C-3 PT 2 BK B LOT 26,137
Multi-Family,"{""architectureType"": ""Quadruplex"", ""cooling"": true, ""coolingType"": ""Evaporative"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Composition Shingle""}",0.0,2.0,1100.0,3019.0,1977.0,P654-999-0250-4400,25 PEBBLE HILLS #2 ELY 25.17 FT OF WLY 37.19 FT OF 7(3020 SQ FT),138
Single Family,NaN,4.0,3.0,3456.0,0.0,2016.0,Unknown,Not available,139
Single Family,NaN,3.0,1.5,972.0,6720.0,1856.0,Unknown,Not available,140
Single Family,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",4.0,2.5,2057.0,17860.0,2006.0,078.2.1.041.0000,DIST: 3 SEC: 3 LOT: 906 SUBD: TIMBERLANDS UNIT 2B SUBDLOT: 111,141
Single Family,"{""architectureType"": ""Contemporary"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",2.0,1.0,1233.0,12066.0,1951.0,09684-015-0090,NCB 9684 BLK 15 LOT 9,142
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Retaining Wall"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",0.0,1.0,1936.0,43560.0,1947.0,13-06-13-0-002-080.000,BEG 170 FT S FR CEN OF E BDRY OF SW1/4 OF SEC 13 TH W 335 FT TH S 130 FT TH E 335 FT TH N 130 FT TO BEG CONT 1A MORE OR LESS,143
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Metal"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 9, ""foundationType"": ""Other""}",5.0,3.5,1845.0,11151.0,1989.0,051517600900,L 3 BLK 7 NORTH SHORE ESTATES,144
Condo,"{""architectureType"": ""Condo / Apartment"", ""floorCount"": 3, ""roomCount"": 5}",3.0,3.5,1800.0,9173.0,2015.0,525-1686-31,Not available,145
Single Family,"{""architectureType"": ""Ranch"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1, ""cooling"": true, ""coolingType"": ""Package""}",3.0,2.0,1530.0,9235.0,1976.0,39-034-13-009,SECTION 03 TOWNSHIP 03 RANGE 69 QTR SE SUBDIVISIONCD 329400 SUBDIVISIONNAME HANSEN BLOCK LOT 0005 SIZE: 9243 TRACT VALUE: .21,146
Single Family,"{""unitCount"": 1}",4.0,2.0,1486.0,7841.0,1979.0,0500-140.00-03.00-050.000,X2217246Y202768 T023H00000000,147
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",3.0,2.0,1074.0,7018.0,1960.0,4060-95-20,BROWNING HEIGHTS EAST BLOCK 95 LOT 20,148
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",2.0,2.0,1104.0,1742.0,2004.0,249559 0103,46/70-77 SOUTHERN CREEK UNIT 2 LOT 10C OR3652/79 & 4270/154,149
Single Family,NaN,5.0,3.0,3796.0,21780.0,2023.0,Unknown,Not available,150
Single Family,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""foundationType"": ""Stone"", ""heating"": true, ""heatingType"": ""Gas"", ""roofType"": ""Asphalt"", ""roomCount"": 8, ""fireplace"": true}",5.0,1.0,3486.0,13068.0,1890.0,010.09.29.4.02.001.000,"SUBD HAINES SD, N13 LOT 6 & ALL LOT 7 DIM DEED-56.6 X 142 IRR",151
Single Family,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""roofType"": ""Shingle"", ""unitCount"": 1}",4.0,2.5,1555.0,14249.0,1966.0,29-27-101-034,(THIRD) ADD TO (SHIRBIL) (ESTATES) SUB OF PT OF LOT 7 IN K DALENBERGS SUB EH NW SEC 27-36-14,152
Single Family,NaN,3.0,2.5,2007.0,40946.0,2005.0,Unknown,Not available,153
Multi-Family,"{""architectureType"": ""Duplex"", ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Carport"", ""heating"": true, ""unitCount"": 2}",4.0,2.0,1554.0,9997.0,1916.0,-8150--------41---20,"CONNER, S A ADDITION LOT 41 & 42",154
